menuItem,restaurantName
Seared Pork Tenderloin,Be Our Guest
Grilled Filet Mignon,Be Our Guest
House-made Macaroni & Cheese,Be Our Guest
Aunt Liz's Golden Fried Chicken,50's Prime Time Cafe
Caesar Salad,50's Prime Time Cafe
Cousin Megan's Traditional Meatloaf,50's Prime Time Cafe
Norwegian Waffles,Akershus Royal Banquet Hall
Stekt Laks: Seared Salmon,Akershus Royal Banquet Hall
Kylling: Chicken with Apple and Fennel Preserves,Akershus Royal Banquet Hall
"Waffles, House-made French Toast, Seasonal Pancakes, and Croissant Beignets",Chef Mickey's
"Steak and Egg Scramble, Omelets, and Tofu Scramble",Chef Mickey's
Buttermilk Biscuits and Sausage Gravy,Chef Mickey's
Tokyo Sushi Combo,Katsura Grill
California Roll,Katsura Grill
Shrimp Tempura Udon,Katsura Grill
Tacos de Barbacoa,La Cantina de San Angel
Empanadas con Queso,La Cantina de San Angel
Arroz con Pollo Bowl,La Cantina de San Angel
Margherita Pizza,Mama Melrose's Ristorante Italiano
Fettuccine Alfredo with Shrimp,Mama Melrose's Ristorante Italiano
Mama's Italian Pasta with Chicken,Mama Melrose's Ristorante Italiano
Surf and Turf,Tiffins Restaurant
Butter Chicken,Tiffins Restaurant
Szechuan Noodles,Tiffins Restaurant
Moroccan-spiced Lamb Shank,Jiko
Botswanan Seswaa Short Rib,Jiko
Peri-Peri Chicken,Jiko
Traditional Sausages,Biegarten Restaurant
Sauerkraut,Biegarten Restaurant
Rotisserie Chicken,Biegarten Restaurant
Smoked Turkey Sandwich,Woody's Toy Box
Grilled Three-Cheese Sandwich,Woody's Toy Box
BBQ Brisket Melt,Woody's Toy Box
Baked Quiche,Cinderella's Royal Table
Marinated Grilled Chicken,Cinderella's Royal Table
Roasted Lamb Chops,Cinderella's Royal Table
