restaurantName,restaurantDescription,isCharacterDining,openingHours,closingHours,isAllYouCanEat,park,typeOfFood,priceRange
Be Our Guest,Beauty and the Beast themed restaurant,0,11:00:00,22:00:00,0,Magic Kingdom,"American, French, Casual dining",$$$$
50's Prime Time Cafe,50s kitsch and a good old-fashioned family gathering take you back to a bygone era,0,10:45:00,21:00:00,0,Hollywood Studios,American comfort food,$$
Akershus Royal Banquet Hall,Disney Princesses for Storybook Dining inside a medieval castle,1,8:30:00,20:00:00,0,Epcot,"American, Norwegian, Family Style",$$$$
Chef Mickey's,"A Character-filled, all-you-care-to-enjoy breakfast or dinner buffet at Disney’s Contemporary Resort",1,7:30:00,12:30:00,1,null,American comfort,$$$$
Katsura Grill,A quick service restaurant located in the Japan Pavillion in Epcot's World Showcase,0,11:30:00,21:00:00,0,Epcot,Japanese,$
La Cantina de San Angel,A quick service restaurant located in the Mexico Pavillion in Epcot's World Showcase,0,10:00:00,21:00:00,0,Epcot,Mexican,$
Mama Melrose's Ristorante Italiano,An Italian eatery with a Californian twist,0,10:45:00,21:00:00,0,Hollywood Studios,Italian,$$
Tiffins Restaurant,A restaurant dedicated to interantional cuisine inspired by exploration and adventure,0,11:30:00,19:00:00,0,null,"African, Latin, Asian",$$$$
Jiko,A fine dining establishment that will take you to the heart of Africa,0,17:00:00,21:30:00,0,null,African,$$$
Biegarten Restaurant,Celebrate Oktoberfest all year long with authentic German cuisine and lively entertainment,0,12:00:00,20:00:00,1,Epcot,German,$$$
Woody's Lunchbox,Eat like a kid at this Toy Story themed restaurant,0,9:00:00,21:00:00,0,Hollywood Studios,American,$
Cinderella's Royal Table,Eat inside Cinderella's Castle and enjoy being royalty while you eat,1,8:00:00,22:00:00,0,Magic Kingdom,American,$$$$
